stateProvince,verbatimScientificName,n_records,rank_in_state
Ampara,Corvus splendens,3,1.0
Ampara,Artamus fuscus,2,2.0
Ampara,Chlidonias hybrida,2,3.0
Ampara,Ciconia episcopus,2,4.0
Ampara,Dendrocygna javanica,2,5.0
Anuradhapura,Acridotheres tristis,5,1.0
Anuradhapura,Dicrurus macrocercus,5,2.0
Anuradhapura,Spilopelia chinensis,5,3.0
Anuradhapura,Anhinga melanogaster,4,4.0
Anuradhapura,Haliastur indus,4,5.0
Badulla,Argya affinis,3,1.0
Badulla,Psilopogon haemacephalus,3,2.0
Badulla,Acridotheres tristis,2,3.0
Badulla,Aerodramus unicolor,2,4.0
Badulla,Anthracoceros coronatus,2,5.0
Batticaloa,Acridotheres tristis,4,1.0
Batticaloa,Copsychus saularis,2,2.0
Batticaloa,Coracias benghalensis,2,3.0
Batticaloa,Cypsiurus balasiensis,2,4.0
Batticaloa,Lonchura punctulata,2,5.0
Colombo,Cecropis hyperythra,3,1.0
Colombo,Leptocoma zeylonica,3,2.0
Colombo,Copsychus saularis,2,3.0
Colombo,Dicaeum erythrorhynchos,2,4.0
Colombo,Oriolus xanthornus,2,5.0
Galle,Acridotheres tristis,4,1.0
Galle,Ardeola grayii,3,2.0
Galle,Dicrurus caerulescens,3,3.0
Galle,Haliastur indus,3,4.0
Galle,Pycnonotus cafer,3,5.0
Gampaha,Argya affinis,3,1.0
Gampaha,Egretta garzetta,3,2.0
Gampaha,Oriolus xanthornus,3,3.0
Gampaha,Spilopelia chinensis,3,4.0
Gampaha,Acridotheres tristis,2,5.0
Hambantota,Anhinga melanogaster,4,1.0
Hambantota,Argya affinis,4,2.0
Hambantota,Spilopelia chinensis,4,3.0
Hambantota,Cypsiurus balasiensis,3,4.0
Hambantota,Nisaetus cirrhatus,3,5.0
Jaffna,Spilopelia chinensis,4,1.0
Jaffna,Ardea cinerea,3,2.0
Jaffna,Corvus splendens,3,3.0
Jaffna,Argya affinis,2,4.0
Jaffna,Cinnyris lotenius,2,5.0
Kalutara,Pycnonotus cafer,5,1.0
Kalutara,Vanellus indicus,4,2.0
Kalutara,Acridotheres tristis,3,3.0
Kalutara,Aegithina tiphia,3,4.0
Kalutara,Pavo cristatus,3,5.0
Kandy,Cinnyris lotenius,4,1.0
Kandy,Acridotheres tristis,3,2.0
Kandy,Acritillas indica,3,3.0
Kandy,Copsychus saularis,3,4.0
Kandy,Dicaeum erythrorhynchos,3,5.0
Kegalla,Cyornis tickelliae,4,1.0
Kegalla,Acridotheres tristis,3,2.0
Kegalla,Halcyon smyrnensis,3,3.0
Kegalla,Psilopogon zeylanicus,3,4.0
Kegalla,Psittacula krameri,3,5.0
Kilinochchi,Ardea alba,3,1.0
Kilinochchi,Vanellus indicus,3,2.0
Kilinochchi,Copsychus saularis,2,3.0
Kilinochchi,Dendrocygna javanica,2,4.0
Kilinochchi,Egretta garzetta,2,5.0
Kurunegala,Acridotheres tristis,7,1.0
Kurunegala,Pavo cristatus,7,2.0
Kurunegala,Ardea coromanda,5,3.0
Kurunegala,Ciconia episcopus,5,4.0
Kurunegala,Apus affinis,4,5.0
Mannar,Acridotheres tristis,4,1.0
Mannar,Dicrurus macrocercus,3,2.0
Mannar,Egretta garzetta,3,3.0
Mannar,Lanius schach,3,4.0
Mannar,Ardea alba,2,5.0
Matale,Orthotomus sutorius,3,1.0
Matale,Cinnyris lotenius,2,2.0
Matale,Copsychus fulicatus,2,3.0
Matale,Corvus splendens,2,4.0
Matale,Dicaeum erythrorhynchos,2,5.0
Matara,Argya affinis,5,1.0
Matara,Loriculus beryllinus,5,2.0
Matara,Centropus sinensis,4,3.0
Matara,Psittacula krameri,3,4.0
Matara,Pycnonotus cafer,3,5.0
Monaragala,Haliastur indus,4,1.0
Monaragala,Ardea coromanda,3,2.0
Monaragala,Ciconia episcopus,3,3.0
Monaragala,Pavo cristatus,3,4.0
Monaragala,Psilopogon zeylanicus,3,5.0
Mullaittivu,Anthus rufulus,2,1.0
Mullaittivu,Eudynamys scolopaceus,2,2.0
Mullaittivu,Halcyon smyrnensis,2,3.0
Mullaittivu,Merops orientalis,2,4.0
Mullaittivu,Porphyrio poliocephalus,2,5.0
Nuwara,Pycnonotus cafer,5,1.0
Nuwara,Gallus lafayettii,3,2.0
Nuwara,Leptocoma zeylonica,3,3.0
Nuwara,Merops philippinus,3,4.0
Nuwara,Orthotomus sutorius,3,5.0
Polonnaruwa,Ciconia episcopus,3,1.0
Polonnaruwa,Threskiornis melanocephalus,3,2.0
Polonnaruwa,Apus affinis,2,3.0
Polonnaruwa,Ardea alba,2,4.0
Polonnaruwa,Argya affinis,2,5.0
Puttalam,Haliastur indus,6,1.0
Puttalam,Spilopelia chinensis,5,2.0
Puttalam,Phalacrocorax fuscicollis,4,3.0
Puttalam,Ardea cinerea,3,4.0
Puttalam,Ardea coromanda,3,5.0
Ratnapura,Pycnonotus cafer,6,1.0
Ratnapura,Aerodramus unicolor,4,2.0
Ratnapura,Loriculus beryllinus,4,3.0
Ratnapura,Orthotomus sutorius,4,4.0
Ratnapura,Spilopelia chinensis,4,5.0
Trincomalee,Acridotheres tristis,4,1.0
Trincomalee,Columba livia,4,2.0
Trincomalee,Cypsiurus balasiensis,4,3.0
Trincomalee,Corvus macrorhynchos,3,4.0
Trincomalee,Alcedo atthis,2,5.0
Vavuniya,Pavo cristatus,2,1.0
Vavuniya,Pycnonotus cafer,2,2.0
Vavuniya,Threskiornis melanocephalus,2,3.0
Vavuniya,Aegithina tiphia,1,4.0
Vavuniya,Amaurornis phoenicurus,1,5.0
